WKT,ID,目撃痕跡種別,出没年,出没日,時刻,市町名,場所,備考,頭数,集落,集落コード,500mメッシュコード,緯度,経度,誘引物が原因の出没,誘引物と考えられるもの
POINT (136.78531 36.80634),778,目撃,R2,R2.9.5,21時00分頃,宝達志水町,宝達志水町宝達地内,庭から物音がして、懐中電灯で照らしたところ、クマの足元（らしき物）が見えた。翌日、周囲を確認したところ、近くの栗林の栗が食い荒らされていた。,1,宝達,1.74E+09,5.54E+08,36.80634,136.78531,1,クリ
POINT (136.61274 36.31564),799,目撃,R2,R2.9.17,13時15分頃,白山市,白山市左礫町地内,左礫町地内の柿の木に登っている子グマ１頭を目撃,1,左礫,1.72E+09,5.44E+08,36.31564,136.61274,1,カキ
POINT (136.6722782 36.4896648),819,目撃,R2,R2.9.22,17時00分頃,金沢市,金沢市小原町地内,クマ1頭がクルミの木に登っているのを目撃,1,小原,1.72E+09,5.44E+08,36.4896648,136.6722782,1,クルミ
POINT (136.7295239 36.5292405),823,目撃,R2,R2.9.23,9時15分頃,金沢市,金沢市小豆沢町地内,クマ2頭（親子）がクルミの樹上に登っていた,1,小豆沢,1.72E+09,5.44E+08,36.5292405,136.7295239,1,クルミ
POINT (136.7277055 36.4927572),824,目撃,R2,R2.9.23,17時00分頃,金沢市,金沢市菅池町地内,クルミの樹上にクマが登っていた,1,菅池,1.72E+09,5.44E+08,36.4927572,136.7277055,1,クルミ
POINT (136.7390974 36.5291163),834,目撃,R2,R2.9.24,14時30分頃,金沢市,金沢市湯谷原町地内,子グマ1頭を道路付近で目撃,1,湯谷原,1.72E+09,5.44E+08,36.5291163,136.7390974,1,魚、エサ
POINT (136.828067 36.795633),918,目撃,R2,R2.10.7,8時30分頃,宝達志水町,宝達志水町原地内,宝達志水町原地内（林道宝達新宮線と林道所司原線との合流地点）でクマの親子を見たとのこと。当該地にはクリの木あり,2,原,1.74E+09,5.54E+08,36.795633,136.828067,1,クリ
POINT (136.6885826 36.5272127),996,目撃,R2,R2.10.14,6時25分頃,金沢市,金沢市大桑町地内,クマ1頭（成獣）を目撃,1,大桑,1.72E+09,5.44E+08,36.5272127,136.6885826,1,果樹園
POINT (136.6866738 36.5264284),997,目撃,R2,R2.10.14,6時27分頃,金沢市,金沢市大桑町地内,クマ1頭を目撃,1,大桑,1.72E+09,5.44E+08,36.5264284,136.6866738,1,果樹園
POINT (136.611078 36.393742),1033,目撃,R2,R2.10.16,20時45分頃,白山市,白山市河合町地内,河内町地内にあるクリの木の下でクマ（成獣１頭幼獣２頭）を目撃,3,河合,1.72E+09,5.44E+08,36.393742,136.611078,1,クリ
POINT (136.6111209 36.39375062),1036,目撃,R2,R2.10.17,0時30分頃,白山市,白山市河合町地内,河内町地内にあるカキの木の下でクマ（成獣１頭幼獣２頭）を目撃,3,河合,1.72E+09,5.44E+08,36.39375062,136.6111209,1,カキ
POINT (136.5766852 36.4183197),1083,目撃,R2,R2.10.19,19時10分頃,能美市,能美市鍋谷町地内,鍋谷町公民館からさらに奥へ約1kmの場所にある民家の敷地で、柿の木に登る1頭を目撃,1,上区鍋谷,1.72E+09,5.44E+08,36.4183197,136.5766852,1,カキ
