WKT,ID,目撃痕跡種別,出没年,出没日,時刻,市町名,場所,備考,頭数,集落,集落コード,500mメッシュコード,緯度,経度,河川からの出没
POINT (136.633349 36.43544342),1152,目撃,R2,R2.10.24,17時15分頃,白山市,白山市白山町地内,白山町地内にある北陸電力白山発電所周辺でクマ１頭を目撃,1,白山町,1.72E+09,5.44E+08,36.43544342,136.633349,1
POINT (136.3831689 36.2998433),1153,目撃,R2,R2.10.24,18時30分,加賀市,加賀市森町地内,森町町民会館付近でクマ1頭を目撃,1,森,1.72E+09,5.44E+08,36.2998433,136.3831689,1
POINT (136.45117 36.414626),1162,目撃,R2,R2.10.25,20時25分,小松市,小松市大川町一丁目,小松市北部地区体育館付近にて、クマ幼獣1頭を目撃;パトロール（市職員3名、捕獲隊3名、警察、消防）;周辺を確認し痕跡あり,1,園町,1.72E+09,5.44E+08,36.414626,136.45117,1
POINT (136.507714 36.405443),1183,目撃,R2,R2.10.27,14時09分,小松市,小松市荒木田町,主要地方道金沢・小松線（加賀産業開発道路）荒木田大橋付近にて、クマ成獣1頭を目撃;パトロール（市職員2名）;周辺を確認し痕跡なし,1,荒木田町,1.72E+09,5.44E+08,36.405443,136.507714,1
POINT (136.3830195 36.2996704),1207,目撃,R2,R2.10.28,19時30分,加賀市,加賀市森町,一ノ瀬用水付近でクマ１頭を目撃,1,森,1.72E+09,5.44E+08,36.2996704,136.3830195,1
POINT (136.3896514 36.2882205),v,目撃,R2,R2.10.31,6時15分,加賀市,加賀市小坂町,賀市小坂町地内でクマ1頭を目撃,1,小坂,1.72E+09,5.44E+08,36.2882205,136.3896514,1
POINT (136.3895275 36.3133161),1238,目撃,R2,R2.10.31,11時00分,加賀市,加賀市松山町,松山町公民館付近でクマ1頭を目撃,1,松山,1.72E+09,5.44E+08,36.3133161,136.3895275,1
POINT (136.633357 36.435846),1256,目撃,R2,R2.11.1,21時30分頃,白山市,白山市白山町地内,白山町地内でクマ１頭を目撃,1,白山町,1.72E+09,5.44E+08,36.435846,136.633357,1
POINT (136.3896598 36.3114019),1272,目撃,R2,R2.11.3,19時00分,加賀市,加賀市松山町,加賀市松山町地内でクマ1頭を目撃,1,松山,1.72E+09,5.44E+08,36.3114019,136.3896598,1
POINT (136.6328627 36.43749245),1292,目撃,R2,R2.11.5,19時30分頃,白山市,白山市白山町・三宮町地内,白山町地内にある古宮児童公園周辺でクマ１頭目撃;白山町・三宮町地内にある白山比_神社でクマ１頭を目撃,1,白山町,1.72E+09,5.44E+08,36.43749245,136.6328627,1
POINT (136.3882266 36.3011174),1301,目撃,R2,R2.11.6,15時20分,加賀市,加賀市森町,森町東交差点付近でクマ１頭を目撃,1,森,1.72E+09,5.44E+08,36.3011174,136.3882266,1
POINT (136.3891608 36.2909823),1302,目撃,R2,R2.11.6,15時25分,加賀市,加賀市小坂町,(有)治下組付近でクマ１頭を目撃,1,小坂,1.72E+09,5.44E+08,36.2909823,136.3891608,1
POINT (136.451379 36.384084),1316,目撃,R2,R2.11.7,18時40分,小松市,小松市大領町,浅井畷古戦場付近にて、クマ成獣1頭を目撃;パトロール（市職員2名、捕獲隊2名、警察、消防）;周辺を確認し痕跡あり,1,大領町,1.72E+09,5.44E+08,36.384084,136.451379,1
POINT (136.3540176 36.272584),1334,目撃,R2,R2.11.10,20時30分,加賀市,加賀市山中温泉中田町,中田町公民館付近でクマ１頭を目撃,1,中田,1.72E+09,5.44E+08,36.272584,136.3540176,1
POINT (136.415582 36.332148),1352,目撃,R2,R2.11.13,15時15分,小松市,小松市矢田野町,(旧)世界のガラス館付近にて、クマ成獣1頭を目撃;パトロール（市職員8名、捕獲隊、警察、消防）;周辺を確認し痕跡あり,1,矢田野町,1.72E+09,5.44E+08,36.332148,136.415582,1
POINT (136.4159529 36.3317205),1356,目撃,R2,R2.11.13,17時00分,加賀市,加賀市箱宮町,加賀市箱宮町地内でクマ１頭を目撃,1,箱宮,1.72E+09,5.44E+08,36.3317205,136.4159529,1
POINT (136.385072 36.2974176),1362,目撃,R2,R2.11.14,17時00分,加賀市,加賀市二ッ屋町地内,白山神社付近でクマ１頭を目撃,1,二ツ屋,1.72E+09,5.44E+08,36.2974176,136.385072,1
POINT (136.64068 36.328644),1369,目撃,R2,R2.11.15,7時30分頃,白山市,白山市西佐良町地内,西佐良町地内にあるカキの木でクマ１頭を目撃,1,西佐良,1.72E+09,5.44E+08,36.328644,136.64068,1
POINT (136.5225264 36.4297896),1370,目撃,R2,R2.11.15,18時50分頃,能美市,能美市泉台町地内,九谷焼美術館付近で、クマらしきもの1頭を目撃,1,佐野,1.72E+09,5.44E+08,36.4297896,136.5225264,1
POINT (136.6882187 36.5130177),1372,目撃,R2,R2.11.16,9時00分頃,金沢市,金沢市末町地内,クマ2頭（親子）が犀川を横断していた,2,末,1.72E+09,5.44E+08,36.5130177,136.6882187,1
POINT (136.440935 36.339087),1373,目撃,R2,R2.11.16,12時05分,小松市,小松市林町,市道井口林線、国道８号小松バイパス付近にて、クマ成獣1頭を目撃;パトロール（市職員8名、捕獲隊、警察、消防）;周辺を確認し痕跡あり,1,林町,1.72E+09,5.44E+08,36.339087,136.440935,1
POINT (136.438814 36.340774),1382,目撃,R2,R2.11.17,15時14分,小松市,小松市林町,林町公民館付近にて、クマ成獣1頭を目撃;パトロール（市職員10名、捕獲隊3名、警察、消防）;周辺を確認し痕跡あり,1,林町,1.72E+09,5.44E+08,36.340774,136.438814,1
POINT (136.3897202 36.3252977),1385,目撃,R2,R2.11.18,6時25分,加賀市,加賀市動橋町,幸徳園裏でクマ１頭を目撃,1,動橋,1.72E+09,5.44E+08,36.3252977,136.3897202,1
POINT (136.3651866 36.3086196),1393,目撃,R2,R2.11.20,7時20分,加賀市,加賀市加茂町,アウパ加賀付近でクマ１頭を目撃,1,加茂,1.72E+09,5.44E+08,36.3086196,136.3651866,1
POINT (136.6898512 36.5129169),1397,目撃,R2,R2.11.21,18時00分頃,金沢市,金沢市末町地内,クマ1頭（1.2ｍ程度）が犀川に向かった,1,末,1.72E+09,5.44E+08,36.5129169,136.6898512,1
POINT (136.3807977 36.3095457),1402,目撃,R2,R2.11.23,7時20分,加賀市,加賀市二子塚町,(株)江沼精機製作所付近でクマ１頭を目撃,1,二子塚,1.72E+09,5.44E+08,36.3095457,136.3807977,1
POINT (136.3842012 36.2987419),1408,目撃,R2,R2.11.25,15時20分,加賀市,加賀市二ツ屋町,ため池と水田の間の薮付近でクマ１頭を目撃,1,二ツ屋,1.72E+09,5.44E+08,36.2987419,136.3842012,1
POINT (136.758071 36.5815909),1415,目撃,R2,R2.12.1,16時50分頃,金沢市,金沢市北方町地内,クマ1頭（1.2ｍ程度）が川沿いの柿の木に登っているのを目撃,1,北方,1.72E+09,5.44E+08,36.5815909,136.758071,1
POINT (136.3816107 36.3013907),1423,目撃,R2,R2.12.10,15時20分,加賀市,加賀市森町,加賀市森町地内でクマ１頭を目撃,1,森,1.72E+09,5.44E+08,36.3013907,136.3816107,1
POINT (136.3610759 36.3194959),1424,目撃,R2,R2.12.16,9時30分,加賀市,加賀市弓波町,加賀市消防本部付近,1,弓波,1.72E+09,5.44E+08,36.3194959,136.3610759,1
POINT (136.74719 36.66689),1686,目撃,R3,R3.5.1,8時30分頃,津幡町,杉瀬地内,旧国道8号線沿いすしべん近くでクマ１頭を目撃,1,杉瀬,1.74E+09,5.54E+08,36.66689,136.74719,1
POINT (136.74697 36.66686),1707,目撃,R3,R3.5.22,18時30分頃,津幡町,杉瀬地内,旧国道8号線沿いすしべん近くでクマ1頭を目撃,1,杉瀬,1.74E+09,5.54E+08,36.66686,136.74697,1
POINT (136.3927264 36.28512828),1715,目撃,R3,R3.5.25,18時30分頃,加賀市,水田丸町地内,水田丸町地内でクマ1頭を目撃,1,水田丸,1.72E+09,5.44E+08,36.28512828,136.3927264,1
POINT (136.5090264 36.4331984),1720,目撃,R3,R3.5.28,15時05分頃,能美市,能美市坪野町,美化センター出入り口から大口方面へ50mほどの箇所で、県道を横断し、東側の山林へ向かう子熊1頭を目撃,1,坪野,1.72E+09,5.44E+08,36.4331984,136.5090264,1
POINT (136.6480879 36.65258637),1728,目撃,R3,R3.6.4,6時45分頃,内灘町,大学2丁目地内,クマ１頭を目撃,1,大根布,1.74E+09,5.44E+08,36.65258637,136.6480879,1
POINT (136.6828869 36.69536198),1733,目撃,R3,R3.6.6,5時23分頃,内灘町,室地内,車で走行中クマ１頭を目撃,1,室,1.74E+09,5.54E+08,36.69536198,136.6828869,1
POINT (136.68996 36.70176),1734,目撃,R3,R3.6.6,5時50分頃,かほく市,大崎地内,通行人がクマ１頭を目撃,1,大崎,1.72E+09,5.54E+08,36.70176,136.68996,1
